ComputerName,Description,Site,OU
MP-DT-ADM-DWN-01,Admin workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-DWN-02,Admin workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-DWN-03,Admin workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-DWN-04,Admin workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-DWN-05,Admin workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-DWN-06,Admin workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-DWN-07,Admin workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-DWN-08,Admin workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-DWN-09,Admin workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-DWN-10,Admin workstation - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-WST-01,Admin workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-WST-02,Admin workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-WST-03,Admin workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-WST-04,Admin workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-WST-05,Admin workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-WST-06,Admin workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-WST-07,Admin workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-WST-08,Admin workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-EST-01,Admin workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-EST-02,Admin workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-EST-03,Admin workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-EST-04,Admin workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-EST-05,Admin workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-EST-06,Admin workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-ADM-EST-07,Admin workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-LAB-WST-01,Lab workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-LAB-WST-02,Lab workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-LAB-WST-03,Lab workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-LAB-WST-04,Lab workstation - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-LAB-EST-01,Lab workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-LAB-EST-02,Lab workstation - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-CNF-DWN-01,Conference room PC - Downtown Clinic,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-CNF-WST-01,Conference room PC - WestSide Clinic,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-DT-CNF-EST-01,Conference room PC - EastSide Clinic,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-PHY-01,Physician laptop,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-PHY-02,Physician laptop,WestSide,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-PHY-03,Physician laptop,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-PHY-04,Physician laptop,EastSide,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-PHY-05,Physician laptop,WestSide,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-PHY-06,Physician laptop,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-EXC-01,Executive laptop - CEO,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-EXC-02,Executive laptop - COO,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-EXC-03,Executive laptop - CMO,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-EXC-04,Executive laptop - CFO,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-EXC-05,Executive laptop - CIO,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-IT-01,IT laptop - Systems Administrator,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-IT-02,IT laptop - Network Technician,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-IT-03,IT laptop - Security Analyst,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-LT-IT-04,IT laptop - Helpdesk,Downtown,"OU=Laptops,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-DWN-01,MFP - Downtown Clinic 1st Floor,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-DWN-02,MFP - Downtown Clinic 2nd Floor,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-DWN-03,MFP - Downtown Clinic Admin Wing,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-DWN-04,MFP - Downtown Clinic Billing,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-DWN-05,MFP - Downtown Clinic Lab,Downtown,"OU=Downtown,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-WST-01,MFP - WestSide Clinic 1st Floor,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-WST-02,MFP - WestSide Clinic 2nd Floor,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-WST-03,MFP - WestSide Clinic Lab,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-WST-04,MFP - WestSide Clinic Admin,WestSide,"OU=WestSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-EST-01,MFP - EastSide Clinic Main,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-EST-02,MFP - EastSide Clinic Urgent Care,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
MP-PRN-EST-03,MFP - EastSide Clinic Imaging,EastSide,"OU=EastSide,OU=Workstations,OU=Computers,OU=_MedPoint,DC=bplus,DC=lab"
